rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
3.0,Excellent texture and quality,"Excellent texture and quality, the reason that I am going to give it 3 stars is that the jar filled only up to the half.",[],B00S5NIPOW,B00S5NIPOW,AHFKQTF5MA454WSDMESLRV3A6F2Q,1445464629000,3,True
5.0,Perfect for fine curly hair!,"Love these! They seem super tiny at first, but they're the perfect size for a ponytail. I have fine 3A curly hair so this gets me a ponytail without messing up my curls.",[],B074PQG4K8,B074PQG4K8,AH3U7UPPCRLXEBBD3UPADZTTOVHQ,1538275166015,0,True
5.0,This is special!,"It feels absolutely delightful, is silky moisturizing and has a great, subtle scent.",[],B00XTCNL0W,B00XTCNL0W,AG6RPM6GUMKIPWWCJIH5UUFLCLOQ,1524660074909,1,True
1.0,"ONLY LASTED 2 MONTHS, THAN CAME APART","ONLY LASTED 2 MONTHS, THAN CAME APART<br />TRIED TO REMOVE THE DRILL BIT AND THE GUTS CAME OUT TOO",[],B087X8K2Y5,B087X8K2Y5,AHL7OR5UTFDOXI57RMBPIMOXTMYA,1618080276495,0,True
4.0,Replacement handle for dollar club,Great price fits the Dollar club blades.<br />Better price then D. C. Which you have to purchase more blade heads.<br />When I do need more blades I’m probably going to purchase them from Swipe.,[],B01F65SZ5U,B01F65SZ5U,AGDEW6KKZ4JECT3ETXNFVPZZ4GAA,1643458972424,0,True
4.0,Good,"Good, snug headband for pulling your hair back when you need to work on your face; ie, washing, applying skincare and makeup. Tried to wear one all day, and though it's perfect in the short-term, it does tend to slip off slowly. I had to readjust it every couple of hours. But as I don't need to use it as a hairstyle accessory, I'm fine with the fit.",[],B018T2SNE0,B07CJWG8SP,AGQ4A7ZP4BIRDFFCBYTVL5OLS6DA,1499617739369,3,True
3.0,It's changed a bit,"It has been several years since I used up my last Ramy B1*&@#-Slap blush, and with Spring coming on full force (it's in the 80's down here in the tropics, I am not making this up) I found myself craving another B-Slap blush for the Spring and Summer months ahead. So I ordered it, thinking that I already know what the color is like so I didn't need to worry about seeing it in person first before buying it. So when the compact arrived, I was surprised to find that the color had changed a bit. Instead of being a neutral/natural pink, it definitely has become a light, cool-tone pink. Now, this really isn't a problem because it's just the right shade and tone that will work very well on my cool-toned complexion, but it ISN'T the B-Slap blush I remember from 6 or 8 years ago. And I feel a little disappointed. I really liked how that almost-but-not-quite warm/neutral pink looked on my complexion. I will still wear it; it's a lovely pink, but it isn't &#34;the old&#34; B-Slap that I remember. Warm-toned girls who used to like the original blush color will have to look elsewhere for this color because this incarnation will look a little too blue-pink on you.",[],B0001428BY,B000LGIFP0,AGQ4A7ZP4BIRDFFCBYTVL5OLS6DA,1362432139000,0,True
5.0,As a scrub - 2 stars; as a scented body wash - TEN ********** !!!!,"This gel uses what feels like small seeds as the scrubbing particles. but there are too few of them to be of any real help as a body scrub. As a cranberry-scented, foaming body wash, it's out of this world heavenly! Just so luscious it makes me hungry just smelling it. It's also thick and makes a LOT of lather with only a minor amount of the gel on a bath sponge. At this price, if you like cranberry-scented B&B products, this will more than meet your standards.",[],B009S3DV8I,B009S3DV8I,AGQ4A7ZP4BIRDFFCBYTVL5OLS6DA,1362155965000,2,True
4.0,Like,"I didn’t buy this soap from amazon.  I found this to be a light fragrant honey scent, and pleasant",[],B075CWMCHB,B075CWMCHB,AGUFH662YVNHQ6NKKHJCDT6VPOCQ,1613260787219,0,False
5.0,Lemon cookies,"I bought this soap at a tjmax, and wasn’t sure if I would like it. Once you use this you get the feeling you had lemon cookies with a slight spicy undertone.  I’m loving this soap and think so far it’s my favorite.",[],B08VH26Q1X,B08VH26Q1X,AGUFH662YVNHQ6NKKHJCDT6VPOCQ,1612362031189,0,False
4.0,Nice almond,"I did not buy my soap on amazon but wanted to review it.  It lathers very nice and the scent is very nice almond, but not very moiturizing for me once rinsed off is mildly noticed, which is fine for me.  The bar is a light brownish color.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716CYP2vNDL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716CYP2vNDL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/716CYP2vNDL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07WCLFC6G,B07WCLFC6G,AGUFH662YVNHQ6NKKHJCDT6VPOCQ,1611845299936,0,False
4.0,Lovely light scent,"I didn’t buy this from amazon but a I have this soap.  It is a clean light honey fragrance, and actually smells stronger once your finished drying off.  Truthfully I paid a great deal less at tjmax and I mean a great deal.",[],B07CYPWYNN,B07CYPWYNN,AGUFH662YVNHQ6NKKHJCDT6VPOCQ,1611785450772,0,False
5.0,Excellant,I bought this direct from Sally’s and I must say this is the most comfortable brush to blow dry with.  It does not pull your hair out and you can actually sculpt and roll with it to straighten and shape the hair.,[],B07QKB81NZ,B07QKB81NZ,AGUFH662YVNHQ6NKKHJCDT6VPOCQ,1569708996414,0,False
5.0,Beautiful Colors,I bought Animal Crossing which is a lovely green palette.  Planning  to use for an evening out and for St. Patrick's Day.  I have other Colour Pop shadows and they're  beautiful.,[],B08XPQDC7F,B08XPQDC7F,AH7M6UFMAZFWKMC34FPCG5PHZZMQ,1643404098057,0,True
2.0,Terrible Product,Both the GymBar and DVD were defective.  Thankfully I got a refund. Don't waste your money on this,[],B005FRXQ5E,B005FRXQ5E,AH7M6UFMAZFWKMC34FPCG5PHZZMQ,1422482512000,2,True
5.0,LOVE THIS,This is expensive $$$ but makes me feel like a million when I use it. THe scent is amazingly fresh and perfect. Makes my sking feel great,[],B07FKVGMYD,B07FKVGMYD,AHLSPYJ5L4UX4A45SVFTIFFSGL6A,1558963461179,5,True
5.0,Luxurious,Charming. Luxurious for travel. I love thistles and the color purple and this is perfect!!!,[],B01H2EMIWY,B01H2EMIWY,AFQ7C7AURY42BUTVJALP3JPOQF5Q,1501290939352,0,True
5.0,Travel-friendly!,Use these every day. They are great for travel and slip into pocket or purse. Great for sensitive skin too.,[],B002YGP648,B002YGP648,AFQ7C7AURY42BUTVJALP3JPOQF5Q,1403269759000,0,True
5.0,"Great brush, works well, substantial size,  loaded with  bristles","I purchased for my daughter,24, who loves to contour and have fun with her make-up. She also enjoys trying low end and high end products and tools looking for a good price but more important to her is that they work. When I saw this online and read the reviews I bought as a gift. Last year I gave her an expensive contour kit , which she uses daily, so she tried this flat contour brush with that palette. She said it works great for contouring cheeks, forehead and neck area and the brush holds the product well. After feeling the brush for myself- it is extremely soft and filled with short bristles- and seeing the results on her skin I ordered 3 more. One for my daughter in law, myself and an extra in case I need to give a gift!<br />While looking on Amazon and comparing products, prices and reviews, I noticed many of the same brushes, this one, with different prices- some were 5.99, some were 1.99 + 3.98 shipping... so be aware for higher prices for same product.",[],B00WQEJV6M,B00WQEJV6M,AGJHB6K7KJ2E3YTQ5JNGWN5QJ2IQ,1445581878000,3,True
4.0,Works well.,This product has a thin consistency and takes longer than I'm used to to become tacky. It does last all day for me and easily removed.,[],B07VD4N2YQ,B07VD4N2YQ,AFP7VDF6G7HR3NFKTYAMOFNG7PFA,1574877043294,0,True
4.0,They work great.,"These came packaged very well, no damage. I use them for cleaners in my kitchen and bathrooms. I added vinyl labels. They work great.",[],B017JO1TXQ,B017JO1TXQ,AFP7VDF6G7HR3NFKTYAMOFNG7PFA,1478189672000,0,True
4.0,No bugs in hair its okay,"The hair is very thin, not thick at alI. My hair is the same length, all I did was add thickness to my own hair.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/610DUewEpSL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/610DUewEpSL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/610DUewEpSL.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Zo73hwrAL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Zo73hwrAL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71Zo73hwrAL.jpg', 'attachment_type': 'IMAGE'}]",B07D275SR2,B07D275SR2,AERHZTTK7BAQGM3M3LB5RTPGFX7Q,1557173770564,1,True
2.0,Headache,"Item is way too tight cause headaches, I even tried to stretch it by placing it over the gel cap to hold the heat in from the gel cap, and after 20 minutes. I had to take the darn thing off due to my head and eyes were starting to hurt. The item looks nothing like the picture with with the crinkle rows, it is pink with the aluminum color on the inside with a smooth outer appearance.",[],B01M3NSNKL,B01M3NSNKL,AERHZTTK7BAQGM3M3LB5RTPGFX7Q,1519639375948,1,True
2.0,Not really enough light to be putting on makeup.,"I bought this, tried it once, and threw it in a drawer. Not nearly enough light for applying makeup.",[],B07HH2NB79,B07HH2NB79,AFHRUTFVZVCJNTNBLEHHB24U7RPQ,1582163627164,0,True
1.0,One Star,Ugly.,[],B00D8PMACA,B00D8PMACA,AFHJEFCFHC53L6BVJK7IVXPI2VAQ,1444703047000,0,True
5.0,Excellent idea,Shocked at how many restrooms run out of soap with all the hand washing going around. Light and compact - ideal for stocking stuffers!,[],B07PWLXFR5,B07PWLXFR5,AFGWCNYIUKRJHWBZNDM2LOTQ4I2A,1606566427035,0,True
4.0,"Good color, good looking","But the swab residue sticks well to the lips, so you have to do it all to get it out.  This part is a bit inconvenient.",[],B09BNDN8MZ,B09BNDN8MZ,AHK5QVKVZFZD3QGKHYZOXENYI4BA,1647230708053,0,True
2.0,Two Stars,Too streachie. Gets too thin to work.,[],B0148A8B8A,B0148A8B8A,AH4JH2IVYWWM623MHY3NKQJS4VJQ,1452193945000,3,True
2.0,Makes my hair feel like straw,The smell is great and I really like lavender one of this brand but this one does not work as well as this. It makes my hair feel like straw. My aunt had the same issue with it.,[],B07T2L6JQR,B07T2L6JQR,AEJ7WWHKYECQIVY7CAV4OQFOTIBA,1607492742715,0,True
2.0,Didn't work on my eczema,"I purchased it to treat my eczema on my feet. It is very moisturizing. The smell is nice as well. Has some characters in Chinese which I couldn't understand and an instruction that is poorly written. That all I can forgive, however the fact that this it's supposed to be medication and it doesn't work, I wouldn't buy it again. It may be worth trying it for some.",[],B075MC221Y,B08YK8B89C,AH74PSSZYWEA3ESPISA22T7OM6YA,1588811679502,1,True
5.0,She loved the rose lip,Gave as gift.  She loved the rose lip gloss,[],B0009JRQZO,B0009JRQZO,AFDPB6ZO64657Q2P2F2TQZKI5DGA,1410566456000,0,True
5.0,Buorjois Lipgloss,Such a pretty color and my sister so enjoys using this lipgloss.  I will be a repeate customer when ordering lipgloss for my family.  Thanks.,[],B0002AOQ5I,B0002AOQ5I,AFDPB6ZO64657Q2P2F2TQZKI5DGA,1266540230000,0,True
5.0,Really Great Size!,"I love these clips! They’re wonderful for holding up long hair. The colors coordinate well so if you have a ton of hair, you can use them together. They stay put but as with any clip of this style, you can get your hair caught. The metal clip part is serrated to help with grip. I’m very pleased with my purchase!",[],B07NQM49JX,B07NQM49JX,AGENKWSYIWPNQVZZ6YQWBKMTOS6Q,1592754627948,0,True
5.0,This smells amazing and is Authentic!,"I’ve become a big fan of Cake Beauty all thanks to this scent and the formula! As for it being authentic, it absolutely is the real deal. I recently ordered from Cake directly and also this tube from Amazon because Cake Beauty is in Canada. I ran out of my sample and it takes about two weeks before your direct order arrives. None of my tubes from the company were sealed. It should also be noted that there’s two different options in the heavy cream line. This tube is body butter. The smaller tube available in this scent is hand repair balm. I personally received the hand repair balm as an Ipsy sample. The formula is slightly different for the hand balm.",[],B078HJ5RZ9,B078HJ5RZ9,AGENKWSYIWPNQVZZ6YQWBKMTOS6Q,1531545790880,0,True
5.0,Really beautiful colors and superior quality!,"Gorgeous colors! I’m very pleased with this pallet. As others have said, these are nicely pigmented shades. Great versatility and quality. I’m purchasing another pallet in different colors.",[],B076Z5WBRV,B076Z5WBRV,AGENKWSYIWPNQVZZ6YQWBKMTOS6Q,1528792263838,0,True
5.0,My new favorite!,I’m a huge fan of activated charcoal in body wash products. This shower gel has a mild scent and it lathers wonderfully. The only thing I recommend is a pump. The bottle as is can be cumbersome.,[],B077JJ12PY,B077JJ12PY,AGENKWSYIWPNQVZZ6YQWBKMTOS6Q,1512929185403,2,False
5.0,Perfect!,"Excellent, high quality and gorgeous headband!",[],B06XN5JQY4,B06XN5JQY4,AGENKWSYIWPNQVZZ6YQWBKMTOS6Q,1501996233116,2,True
5.0,Best washcloth ever,I've been using these for 20 years. Best washcloth ever!,[],B007IAE5WY,B085BB7B1M,AFYWNV5L5RLBDWXUF5BAA7RIAKRQ,1451749903000,0,True
1.0,Falling apart upon arrival,Came fallen apart in the package,"[{'small_image_url': 'https://m.media-amazon.com/images/I/71BUvMw7d4L._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/71BUvMw7d4L._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/71BUvMw7d4L._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B08DNQJNFL,B08DNQJNFL,AH7RH7UBVPCWMLTZQKFS6MS2JP3Q,1638749549384,0,True
5.0,Good,Product was as expected.,[],B08FQZTB2X,B08FQZTB2X,AE4CS6RYQCD37NUZKI7DWPQNRKNA,1612872867414,0,True
